City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Lata,PT,47.8,clear sky,40.1629,-8.3327,Casa Maquia
228,Broome,US,43.38,overcast clouds,42.2506,-75.833,Chenango Valley State Park
230,Port Hardy,CA,46.58,overcast clouds,50.6996,-127.4199,Airport Inn
231,Lasa,IT,42.26,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
236,Nelson Bay,AU,66.99,moderate rain,-32.7167,152.15,Mantra Nelson Bay
237,Ixtapa,MX,68.61,few clouds,20.7,-105.2,Hotel Plaza Providencia
238,New Norfolk,AU,61.72,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
242,Saint George,US,52.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
248,Muroto,JP,59.04,clear sky,33.2833,134.15,Oota Ryokan
249,Big Spring,US,47.68,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
250,Lompoc,US,61.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
260,Riverton,US,42.17,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
265,Sesimbra,PT,50.95,clear sky,38.4445,-9.1015,Sana Sesimbra
266,East London,ZA,62.76,overcast clouds,-33.0153,27.9116,Tu Casa
267,Fereydun Kenar,IR,55.31,overcast clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
269,Dabat,ET,52.38,clear sky,12.9842,37.765,Haymanot hotel
271,Esperance,AU,66.04,clear sky,-33.8667,121.9,Hospitality Esperance
273,Prilep,MK,41.47,overcast clouds,41.3464,21.5544,Guest House Antika
277,Kaeo,NZ,67.46,scattered clouds,-35.1,173.7833,Bushido Lodge
278,Fortuna,US,53.37,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
279,Flinders,AU,65.8,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
281,Iglesias,IT,51.22,overcast clouds,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia sud-ovest, Sulcis iglesiente, trekking, climbing Masua, Miniere,"
282,Wana,PK,48.88,clear sky,32.2989,69.5725,Rest House at Wana Camp
284,Pandavapura,IN,67.69,broken clouds,12.5006,76.6733,Dhanalaskmi Plantain Mandi
286,Cristalina,BR,69.28,broken clouds,-16.7686,-47.6136,HOTEL TOPAZIO
289,Simao,CN,61.18,broken clouds,22.7886,100.9748,Changyu Hotel
290,Dedza,MW,59.34,overcast clouds,-14.3779,34.3332,Kapeleta Dedza Estates
295,Sinor,IN,59.02,few clouds,21.9167,73.3333,Reva Forest Homestay
296,Tonneins,FR,41.67,overcast clouds,44.3921,0.3124,Hôtel Des Fleurs SARL FLOWERS
297,North Bend,US,52.86,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
298,Katsuura,JP,59.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
301,Dese,ET,48.18,broken clouds,11.1333,39.6333,Joamla Hotel
303,Pachmarhi,IN,57.56,clear sky,22.4667,78.4333,TBT Budget Stays
306,Guerrero Negro,MX,67.98,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
311,Jumla,NP,41.23,clear sky,29.2747,82.1838,Royal Garden Hotel
313,Zunyi,CN,52.45,clear sky,27.6867,106.9072,Bishiluo Hostel
314,Codrington,AU,54.18,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
317,Abha,SA,53.42,clear sky,18.2164,42.5053,Abha Hotel
320,Taltal,CL,60.53,scattered clouds,-25.4,-70.4833,Residencial Karime
322,Lagoa,PT,61.57,few clouds,39.05,-27.9833,Casa Das Faias
325,Lamar,US,47.86,few clouds,33.6668,-95.5836,Kings Inn Paris TX
328,Landskrona,SE,40.1,overcast clouds,55.8708,12.8302,Hamnhotellet Kronan i Landskrona AB
333,Los Llanos De Aridane,ES,61.12,broken clouds,28.6585,-17.9182,Valle Aridane
342,Brownwood,US,47.21,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
344,Khash,IR,47.44,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
347,Monte Patria,CL,69.17,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
348,Brae,GB,42.71,overcast clouds,60.3964,-1.353,Busta House Hotel
352,Waiouru,NZ,65.86,overcast clouds,-39.4833,175.6667,Tāwhiri
353,Dodola,ET,48.2,scattered clouds,6.9833,39.1833,Asiya Hussen
354,Murray Bridge,AU,68.68,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
356,Yabelo,ET,60.71,overcast clouds,4.8833,38.0833,Asnakech W/michael
360,Cabra,ES,47.39,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
361,Urambo,TZ,64.0,overcast clouds,-5.0667,32.05,Fair Lodge
364,Pacific Grove,US,61.43,overcast clouds,36.6177,-121.9166,Lovers Point Inn
373,Marsabit,KE,67.03,overcast clouds,2.3284,37.9899,Chicho Hotel
375,Burnie,AU,60.08,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
376,Xiongzhou,CN,63.12,clear sky,25.1167,114.3,Xinhewan Business Hotel
377,Luena,AO,61.79,overcast clouds,-11.7833,19.9167,Hotel Kandamba
381,Pacifica,US,60.58,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
383,Isiro,CD,64.8,overcast clouds,2.7739,27.616,Guest House Hewa Bora
384,Asyut,EG,60.98,clear sky,27.181,31.1837,Florence Hotel Assiut
390,Beihai,CN,68.79,few clouds,21.4833,109.1,21 Degree Hostel
392,Las Vegas,US,56.64,clear sky,36.175,-115.1372,Plaza Hotel & Casino
393,Cefalu,IT,58.75,clear sky,38.0386,14.0229,Hotel La Giara
395,Tallahassee,US,61.93,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
398,Jalu,LY,69.96,clear sky,29.0331,21.5482,صاحبة الفخامة
399,Kanata,CA,40.51,mist,45.3159,-75.8985,Brookstreet Hotel
400,Camacha,PT,59.54,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
401,Darfo,IT,47.14,overcast clouds,45.8779,10.1812,Hotel San Martino
403,Kaihua,CN,54.07,overcast clouds,23.3687,104.28,Zhongyu Hotel
405,Hasaki,JP,61.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
414,Sakakah,SA,53.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
418,Chowchilla,US,61.45,broken clouds,37.123,-120.2602,Days Inn by Wyndham Chowchilla Gateway to Yosemite
419,Khorramshahr,IR,57.16,few clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
420,Mayo,US,51.57,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
