City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nantucket,US,41.2835,-70.0995,51.91,76,20,10.36,few clouds
80,Coihaique,CL,-45.5752,-72.0662,49.95,57,20,5.75,light rain
81,Saint-Pierre,RE,-21.3393,55.4781,78.48,69,90,3.44,overcast clouds
82,Marovoay,MG,-16.1,46.6333,77.14,88,100,3.49,overcast clouds
83,Bilibino,RU,68.0546,166.4372,-30.55,99,90,3.56,overcast clouds
84,Ribeira Grande,PT,38.5167,-28.7,62.83,69,17,23.33,few clouds
85,Cape Town,ZA,-33.9258,18.4232,65.1,60,0,5.75,clear sky
86,Daru,PG,-9.0763,143.2092,85.06,68,100,4.47,overcast clouds
87,Geraldton,AU,-28.7667,114.6,95.41,10,0,20.71,clear sky
88,Sapozhok,RU,53.9419,40.6806,34.97,88,74,16.24,broken clouds
89,Vaini,TO,-21.2,-175.2,86.16,84,75,8.05,light rain
90,Warwick,US,41.7001,-71.4162,48.87,65,75,0.0,broken clouds
91,Mantua,IT,45.1667,10.7833,49.44,92,100,5.99,overcast clouds
92,Lazaro Cardenas,MX,17.9583,-102.2,77.07,82,3,4.38,clear sky
93,Gondanglegi,ID,-7.7479,112.0132,86.43,66,53,12.21,broken clouds
94,Saldanha,ZA,-33.0117,17.9442,71.65,51,5,11.79,clear sky
95,Kaitangata,NZ,-46.2817,169.8464,52.57,89,100,8.52,overcast clouds
96,Platonovka,RU,52.7106,41.952,29.12,89,67,12.73,broken clouds
97,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,100,90,5.75,mist
98,San Benito,US,36.6166,-121.0844,51.06,51,100,3.29,overcast clouds
99,Fort Nelson,CA,58.8053,-122.7002,0.99,78,75,2.3,broken clouds
100,Magnitogorsk,RU,53.4186,59.0472,25.63,80,90,13.42,light snow
101,Khandyga,RU,62.6667,135.6,-17.99,81,25,1.3,scattered clouds
102,Kalmunai,LK,7.4167,81.8167,78.87,85,91,4.41,overcast clouds
103,Dabakala,CI,8.3667,-4.4333,77.11,54,4,1.39,clear sky
104,Yellowknife,CA,62.456,-114.3525,11.41,91,90,4.0,light snow
105,Pisco,PE,-13.7,-76.2167,64.45,88,0,13.8,clear sky
106,Shimoda,JP,34.6667,138.95,62.96,52,0,19.93,clear sky
