City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Ouegoa,NC,21-11-22 22:44:58,-20.35,164.4333,83.46,57,100,2.21
69,Kiama,AU,21-11-22 22:44:58,-34.6833,150.8667,69.01,78,100,6.93
70,Qaanaaq,GL,21-11-22 22:44:58,77.484,-69.3632,-7.17,74,96,5.59
71,Sinegorye,RU,21-11-22 22:44:59,62.0788,150.477,-14.58,95,100,1.79
72,Guapiacu,BR,21-11-22 22:44:59,-20.795,-49.2203,89.89,25,0,4.61
73,Maldonado,UY,21-11-22 22:42:02,-34.6667,-54.9167,68.23,67,85,19.8
74,Brokopondo,SR,21-11-22 22:45:00,4.75,-55.1667,77.92,86,79,4.94
75,East London,ZA,21-11-22 22:41:45,-33.0153,27.9116,66.24,89,97,15.52
76,Kitimat,CA,21-11-22 22:41:17,54.0524,-128.6534,41.92,56,100,7.23
77,Mar Del Plata,AR,21-11-22 22:42:15,-38.0023,-57.5575,59.88,76,2,21.0
78,Hilo,US,21-11-22 22:45:00,19.7297,-155.09,86.29,74,90,9.22
79,Olga,RU,21-11-22 22:45:01,43.7444,135.2892,21.15,54,20,12.93
80,Vila Velha,BR,21-11-22 22:45:01,-20.3297,-40.2925,73.35,77,75,4.61
81,Bambanglipuro,ID,21-11-22 22:45:02,-7.95,110.2833,62.6,95,100,1.81
82,Baykit,RU,21-11-22 22:45:02,61.67,96.37,12.69,96,100,3.49
83,Canton,CN,21-11-22 22:43:56,23.1167,113.25,57.99,51,100,12.59
84,Pacific Grove,US,21-11-22 22:45:03,36.6177,-121.9166,80.71,19,1,1.99
85,Saskylakh,RU,21-11-22 22:45:03,71.9167,114.0833,-25.37,98,10,7.81
86,Ulaangom,MN,21-11-22 22:45:03,49.9811,92.0667,7.34,91,78,3.87
87,Port Hardy,CA,21-11-22 22:40:33,50.6996,-127.4199,46.4,100,90,0.0
88,Busselton,AU,21-11-22 22:45:04,-33.65,115.3333,57.04,57,98,7.05
89,At-Bashi,KG,21-11-22 22:45:04,41.1702,75.8106,20.21,55,5,2.68
90,Gubkinskiy,RU,21-11-22 22:45:04,64.434,76.5026,16.29,95,100,9.95
91,Alvaraes,BR,21-11-22 22:45:05,-3.2208,-64.8042,87.67,93,99,0.27
92,Ponta Do Sol,PT,21-11-22 22:45:05,32.6667,-17.1,69.71,73,95,7.27
93,Xichang,CN,21-11-22 22:46:05,27.8964,102.2634,39.85,95,99,3.31
94,Preobrazheniye,RU,21-11-22 22:46:06,42.9019,133.9064,23.02,59,11,24.2
95,Hervey Bay,AU,21-11-22 22:46:06,-25.2986,152.8535,74.03,82,98,14.61
96,El Rosario,MX,21-11-22 22:46:07,24.2556,-107.1828,91.6,47,69,8.57
97,Iglesias,IT,21-11-22 22:46:07,39.3114,8.535,54.75,91,99,4.92
98,Mecca,SA,21-11-22 22:46:07,21.4267,39.8261,71.24,50,0,6.33
99,Esna,EG,21-11-22 22:46:08,25.2934,32.554,60.82,47,0,8.61
100,Walvis Bay,NA,21-11-22 22:46:08,-22.9575,14.5053,60.1,88,0,5.75
101,Mahebourg,MU,21-11-22 22:46:09,-20.4081,57.7,73.69,88,75,6.91
102,Port Alfred,ZA,21-11-22 22:46:09,-33.5906,26.891,66.9,85,100,18.12
103,Regina,CA,21-11-22 22:43:16,50.4501,-104.6178,39.22,81,90,12.66
104,Tagusao,PH,21-11-22 22:46:10,9.1924,117.8141,79.68,82,35,3.15
105,Butaritari,KI,21-11-22 22:46:10,3.0707,172.7902,81.64,79,61,13.89
106,Port Blair,IN,21-11-22 22:46:10,11.6667,92.75,80.94,82,50,6.8
107,Roma,US,21-11-22 22:45:24,43.2128,-75.4557,35.11,82,90,14.97
108,Dikson,RU,21-11-22 22:46:11,73.5069,80.5464,-13.74,86,100,17.34
109,Geraldton,AU,21-11-22 22:46:11,-28.7667,114.6,63.01,77,2,13.8
110,Tigil,RU,21-11-22 22:46:12,57.8,158.6667,3.27,96,24,2.55
111,Singaraja,ID,21-11-22 22:46:02,-8.112,115.0882,77.97,83,57,1.36
112,Shingu,JP,21-11-22 22:46:12,33.7333,135.9833,47.44,61,39,8.23
113,Fairbanks,US,21-11-22 22:46:12,64.8378,-147.7164,2.61,60,40,1.01
114,Bonavista,CA,21-11-22 22:46:13,48.6499,-53.1147,41.11,84,38,14.99
115,Haines Junction,CA,21-11-22 22:46:13,60.7522,-137.5108,3.15,66,100,8.05
116,Kaluga,RU,21-11-22 22:46:13,54.5,35.5,26.11,88,10,5.48
117,Beloha,MG,21-11-22 22:46:14,-25.1667,45.05,69.13,87,61,12.17
118,Airai,TL,21-11-22 22:46:14,-8.9266,125.4092,66.83,78,90,0.81
119,Onokhino,RU,21-11-22 22:46:14,56.925,65.5394,23.32,91,37,9.75
120,Kodiak,US,21-11-22 22:46:15,57.79,-152.4072,24.31,58,40,4.61
121,Westport,US,21-11-22 22:46:15,41.1415,-73.3579,47.8,65,20,4.0
122,Batagay-Alyta,RU,21-11-22 22:46:16,67.8006,130.4114,-24.92,99,83,3.58
123,Norman Wells,CA,21-11-22 22:42:18,65.282,-126.8329,-16.56,69,75,2.3
124,Portland,US,21-11-22 22:43:00,45.5234,-122.6762,53.51,80,75,1.01
125,Ancud,CL,21-11-22 22:46:16,-41.8697,-73.8203,62.42,73,21,9.75
126,Lima,PE,21-11-22 22:44:48,-12.0432,-77.0282,65.89,79,90,10.36
127,Meulaboh,ID,21-11-22 22:46:17,4.1363,96.1285,75.69,90,99,3.91
128,Marawi,PH,21-11-22 22:46:17,7.9986,124.2928,65.64,92,63,0.96
129,Batemans Bay,AU,21-11-22 22:46:17,-35.7167,150.1833,66.99,63,98,3.65
130,San Patricio,US,21-11-22 22:46:18,28.017,-97.5169,73.81,38,80,9.31
131,Musoma,TZ,21-11-22 22:46:18,-1.5,33.8,72.05,72,100,5.61
132,Constitucion,CL,21-11-22 22:46:12,-35.3333,-72.4167,64.31,68,10,14.9
133,Severo-Kurilsk,RU,21-11-22 22:46:19,50.6789,156.125,36.79,80,23,7.31
134,Roebourne,AU,21-11-22 22:46:19,-20.7833,117.1333,80.92,54,70,1.61
135,Kavieng,PG,21-11-22 22:46:19,-2.5744,150.7967,84.4,76,91,14.52
136,Tezu,IN,21-11-22 22:42:59,27.9167,96.1667,62.35,86,98,2.53
137,Tiarei,PF,21-11-22 22:46:20,-17.5333,-149.3333,87.82,80,28,12.33
138,Monrovia,LR,21-11-22 22:46:20,6.3005,-10.7969,79.86,80,10,7.0
139,Tucurui,BR,21-11-22 22:47:20,-3.7661,-49.6725,79.54,75,79,0.87
140,Flinders,AU,21-11-22 22:47:21,-34.5833,150.8552,68.81,79,99,6.89
141,Baculin,PH,21-11-22 22:47:21,7.4525,126.5842,79.95,85,89,7.31
142,Miri,MY,21-11-22 22:47:22,4.4148,114.0089,75.34,100,20,3.44
143,Hermanus,ZA,21-11-22 22:47:22,-34.4187,19.2345,63.9,73,92,11.92
144,Celestun,MX,21-11-22 22:47:22,20.8667,-90.4,78.57,74,0,13.69
145,Port Elizabeth,ZA,21-11-22 22:46:53,-33.918,25.5701,66.49,88,90,6.91
146,Samarai,PG,21-11-22 22:47:23,-10.6167,150.6667,84.67,74,69,14.72
147,Broome,US,21-11-22 22:47:23,42.2506,-75.833,34.2,62,90,1.99
148,Rognan,NO,21-11-22 22:47:24,67.0953,15.3878,28.76,76,44,8.25
149,Matamoros,MX,21-11-22 22:47:24,25.5333,-103.25,70.38,38,87,12.1
150,Lossiemouth,GB,21-11-22 22:47:25,57.7214,-3.2834,47.16,81,75,13.8
151,Nakamura,JP,21-11-22 22:47:25,32.9833,132.9333,46.96,69,24,8.81
152,Camargo,MX,21-11-22 22:47:25,27.6667,-105.1667,68.86,31,99,4.27
153,Beringovskiy,RU,21-11-22 22:47:26,63.05,179.3167,-1.75,96,98,13.96
154,Kenora,CA,21-11-22 22:47:26,49.8167,-94.4337,19.38,62,40,3.44
155,Tura,IN,21-11-22 22:47:27,25.5198,90.2201,60.01,79,0,3.02
156,Bethel,US,21-11-22 22:47:27,41.3712,-73.414,44.92,64,90,1.99
157,Straumen,NO,21-11-22 22:47:27,63.8709,11.2999,42.94,74,100,11.92
158,Katsuura,JP,21-11-22 22:47:28,35.1333,140.3,57.31,83,100,17.43
159,Half Moon Bay,US,21-11-22 22:44:42,37.4636,-122.4286,75.2,54,1,1.01
160,Chokurdakh,RU,21-11-22 22:47:28,70.6333,147.9167,-15.02,100,100,3.53
161,Oussouye,SN,21-11-22 22:47:28,12.485,-16.5469,82.49,77,100,4.79
162,Lorengau,PG,21-11-22 22:47:29,-2.0226,147.2712,82.74,79,51,8.37
163,Huangcun,CN,21-11-22 22:47:29,30.0145,118.4037,33.31,58,63,2.1
164,Tasiilaq,GL,21-11-22 22:47:29,65.6145,-37.6368,26.76,54,40,8.95
165,Kaeo,NZ,21-11-22 22:47:30,-35.1,173.7833,75.33,65,27,3.31
166,Sitka,US,21-11-22 22:47:30,57.0531,-135.33,42.69,52,75,13.8
167,Puerto Del Rosario,ES,21-11-22 22:47:30,28.5004,-13.8627,65.95,77,20,4.61
168,Buala,SB,21-11-22 22:47:31,-8.145,159.5921,82.98,78,93,11.5
169,Touros,BR,21-11-22 22:47:31,-5.1989,-35.4608,81.5,76,77,15.82
170,Yulara,AU,21-11-22 22:47:32,-25.2406,130.9889,66.04,77,75,11.5
171,Pangnirtung,CA,21-11-22 22:47:32,66.1451,-65.7125,26.6,74,90,5.75
172,Ponta Delgada,PT,21-11-22 22:46:41,37.7333,-25.6667,67.5,88,40,13.8
173,Comodoro Rivadavia,AR,21-11-22 22:47:33,-45.8667,-67.5,55.26,38,0,10.36
174,Jalu,LY,21-11-22 22:47:33,29.0331,21.5482,62.47,47,13,10.27
175,Abu Kamal,SY,21-11-22 22:47:33,34.4506,40.9171,61.39,56,4,4.7
176,Ribeira Grande,PT,21-11-22 22:47:33,38.5167,-28.7,66.04,83,100,19.75
177,Maksatikha,RU,21-11-22 22:47:34,57.797,35.8825,19.42,90,72,6.33
178,Mindelo,CV,21-11-22 22:47:34,16.8901,-24.9804,76.55,78,20,16.11
179,Varhaug,NO,21-11-22 22:47:34,58.6147,5.6457,44.47,75,100,21.05
180,Victoria,HK,21-11-22 22:46:27,22.2855,114.1577,61.25,78,100,11.01
181,Pontianak,ID,21-11-22 22:47:35,-0.0333,109.3333,76.98,94,75,3.44
182,Saint-Georges,GD,21-11-22 22:47:35,12.0564,-61.7485,80.28,78,20,11.5
183,Kruisfontein,ZA,21-11-22 22:46:51,-34.0033,24.7314,60.89,92,100,11.5
184,Clarence Town,AU,21-11-22 22:48:36,-32.5833,151.7833,70.34,87,71,5.26
185,Nokaneng,BW,21-11-22 22:48:36,-19.6667,22.2667,74.01,65,96,8.43
186,Flagstaff,US,21-11-22 22:48:37,35.1981,-111.6513,61.3,25,1,4.0
187,Tiksi,RU,21-11-22 22:48:37,71.6872,128.8694,-21.06,97,71,8.52
188,Lavrentiya,RU,21-11-22 22:48:37,65.5833,-171.0,-1.34,94,8,9.04
189,Guerrero Negro,MX,21-11-22 22:46:14,27.9769,-114.0611,79.14,29,100,7.14
190,Marquette,US,21-11-22 22:48:38,46.5333,-87.6335,22.77,68,35,9.82
191,Shitanjing,CN,21-11-22 22:48:38,39.2342,106.3439,27.19,28,0,10.16
192,Sao Joao Da Barra,BR,21-11-22 22:48:39,-21.6403,-41.0511,69.76,68,73,7.4
193,Leshukonskoye,RU,21-11-22 22:48:39,64.8989,45.7622,20.84,96,100,3.98
194,Fosforitnyy,RU,21-11-22 22:48:39,55.3261,38.9,24.48,95,27,6.53
195,Mawlaik,MM,21-11-22 22:48:39,23.6333,94.4167,61.79,85,44,2.04
196,Talnakh,RU,21-11-22 22:48:40,69.4865,88.3972,5.92,93,100,8.88
197,Garowe,SO,21-11-22 22:48:40,8.4054,48.4845,69.04,73,37,4.45
198,Naze,JP,21-11-22 22:48:41,28.3667,129.4833,59.92,66,93,17.25
199,Sorland,NO,21-11-22 22:48:41,67.667,12.6934,41.13,63,100,26.89
200,Esqueda,MX,21-11-22 22:48:41,30.7167,-109.5833,64.49,27,100,4.52
201,Muravlenko,RU,21-11-22 22:48:42,63.7898,74.523,15.37,96,100,7.72
202,Arraial Do Cabo,BR,21-11-22 22:44:24,-22.9661,-42.0278,66.16,82,0,3.44
203,Bud,US,21-11-22 22:48:42,39.447,-86.1758,35.55,59,3,6.91
204,Praia,CV,21-11-22 22:48:43,14.9215,-23.5087,77.54,73,20,14.97
205,Veraval,IN,21-11-22 22:48:43,20.9,70.3667,79.32,83,94,2.86
206,Labuhan,ID,21-11-22 22:48:43,-6.8844,112.2051,78.01,85,100,7.4
207,Nandyal,IN,21-11-22 22:48:44,15.4833,78.4833,73.02,91,71,2.13
208,Roshchino,RU,21-11-22 22:48:44,60.2519,29.6085,22.15,76,85,3.87
209,Dustlik,UZ,21-11-22 22:48:45,40.5247,68.0358,48.87,30,0,10.92
210,Albion,US,21-11-22 22:46:06,42.2431,-84.753,33.51,60,1,9.22
211,Viedma,AR,21-11-22 22:48:45,-40.8135,-62.9967,54.81,56,3,14.88
212,Honiara,SB,21-11-22 22:48:46,-9.4333,159.95,85.86,70,47,10.31
213,Ippy,CF,21-11-22 22:48:46,6.2679,21.2247,70.74,47,77,2.8
214,Mana,GF,21-11-22 22:48:46,5.6592,-53.7767,78.87,85,40,8.23
215,Isabela,PH,21-11-22 22:48:47,6.7085,121.9711,77.05,83,78,4.68
